,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
79,80,80,https://www.yelp.com/biz/arnolds-plumbing-oklahoma-city?osq=plumbing,73101,No,73115
80,81,81,https://www.yelp.com/biz/plumb-ready-plumbing-oklahoma-city?osq=plumbing,73101,No,73117
81,82,82,https://www.yelp.com/biz/morgan-plumbing-oklahoma-city?osq=plumbing,73101,No,73142
82,83,83,https://www.yelp.com/biz/huse-plumbing-norman?osq=plumbing,73101,No,73026
83,84,84,https://www.yelp.com/biz/okc-drainworks-oklahoma-city?osq=plumbing,73101,Yes,73130
84,85,85,https://www.yelp.com/biz/jon-s-plumbing-and-handyman-services-edmond?osq=plumbing,73101,No,73034
85,86,86,https://www.yelp.com/biz/yukon-plumbing-yukon?osq=plumbing,73101,No,73099
86,87,87,https://www.yelp.com/biz/tiptons-plumbing-moore?osq=plumbing,73101,Yes,73160
87,88,88,https://www.yelp.com/biz/darnell-plumbing-heating-and-air-tuttle?osq=plumbing,73101,No,73089
88,89,89,https://www.yelp.com/biz/alliance-plumbing-and-heating-oklahoma-city?osq=plumbing,73101,No,73112
89,90,90,https://www.yelp.com/biz/kirkland-plumbing-service-midwest-city?osq=plumbing,73101,Yes,73110
90,91,91,https://www.yelp.com/biz/gordons-service-experts-moore?osq=plumbing,73101,Yes,73160
91,92,92,https://www.yelp.com/biz/roto-rooter-oklahoma-city-4?osq=plumbing,73101,Yes,73179
92,93,93,https://www.yelp.com/biz/matrix-mechanical-contracting-plumbing-heat-and-air-conditioning-bethany-4?osq=plumbing,73101,No,73008
93,94,94,https://www.yelp.com/biz/butler-restoration-oklahoma-city?osq=plumbing,73101,No,73132
94,95,95,https://www.yelp.com/biz/funk-sewer-and-drain-oklahoma-city-5?osq=plumbing,73101,No,73109
95,96,96,https://www.yelp.com/biz/stone-creek-plumbing-services-oklahoma-city?osq=plumbing,73101,Yes,73132
96,97,97,https://www.yelp.com/biz/neel-j-r-plbg-oklahoma-city?osq=plumbing,73101,No,73112
97,98,98,https://www.yelp.com/biz/direct-air-norman-2?osq=plumbing,73101,Yes,73069
98,99,99,https://www.yelp.com/biz/a-and-t-mechanical-edmond-2?osq=plumbing,73101,Yes,73034
99,100,100,https://www.yelp.com/biz/oklahoma-city-slab-leak-repair-oklahoma-city?osq=plumbing,73101,No,73118
100,101,101,https://www.yelp.com/biz/joes-rooting-and-drain-cleaning-service-oklahoma-city?osq=plumbing,73101,No,73112
