,Unnamed: 0,Business_links,Zipcode_searched
127,127,https://www.yelp.com/biz/redbud-construction-yukon-3?osq=plumbing,73101
128,128,https://www.yelp.com/biz/plumb-tech-midwest-city-3?osq=plumbing,73101
129,129,https://www.yelp.com/biz/a-drains-and-video-line-inspections-yukon?osq=plumbing,73101
130,130,https://www.yelp.com/biz/mckenna-heat-and-air-blanchard?osq=plumbing,73101
131,131,https://www.yelp.com/biz/city-plumbing-services-norman?osq=plumbing,73101
132,132,https://www.yelp.com/biz/true-tech-home-services-oklahoma-city-3?osq=plumbing,73101
133,133,https://www.yelp.com/biz/hodgens-construction-norman-3?osq=plumbing,73101
134,134,https://www.yelp.com/biz/ps911-services-oklahoma-city-2?osq=plumbing,73101
135,135,https://www.yelp.com/biz/aqua-plumbing-services-mcloud?osq=plumbing,73101
136,136,https://www.yelp.com/biz/excel-comfort-services-edmond?osq=plumbing,73101
137,137,https://www.yelp.com/biz/affordable-leak-detection-wellston?osq=plumbing,73101
138,138,https://www.yelp.com/biz/bl3-plumbing-and-drain-cleaning-moore?osq=plumbing,73101
139,139,https://www.yelp.com/biz/a-better-plumbing-norman?osq=plumbing,73101
140,140,https://www.yelp.com/biz/best-choice-restoration-oklahoma-city?osq=plumbing,73101
141,141,https://www.yelp.com/biz/elite-irrigation-and-drainage-systems-lawton?osq=plumbing,73101
142,142,https://www.yelp.com/biz/affordable-plumbing-oklahoma-city?osq=plumbing,73101
143,143,https://www.yelp.com/biz/davids-plumbing-oklahoma-city?osq=plumbing,73101
144,144,https://www.yelp.com/biz/hvac-solutions-edmond-3?osq=plumbing,73101
145,145,https://www.yelp.com/biz/fixtpro-plumbing-group-oklahoma-city?osq=plumbing,73101
146,146,https://www.yelp.com/biz/hill-and-company-service-oklahoma-city-3?osq=plumbing,73101
147,147,https://www.yelp.com/biz/plumb-crazy-plumbing-oklahoma-city?osq=plumbing,73101
148,148,https://www.yelp.com/biz/iplumb-oklahoma-city?osq=plumbing,73101
149,149,https://www.yelp.com/biz/oklahoma-slab-leak-pro-oklahoma-city?osq=plumbing,73101
150,150,https://www.yelp.com/biz/hermans-plumbing-midwest-city?osq=plumbing,73101
151,151,https://www.yelp.com/biz/d-and-d-drain-norman?osq=plumbing,73101
152,152,https://www.yelp.com/biz/coe-plumbing-oklahoma-city?osq=plumbing,73101
153,153,https://www.yelp.com/biz/punctual-plumbing-oklahoma-city?osq=plumbing,73101
154,154,https://www.yelp.com/biz/drabek-and-hill-oklahoma-city?osq=plumbing,73101
155,155,https://www.yelp.com/biz/academy-disc-plumbing-and-repair-oklahoma-city?osq=plumbing,73101
156,156,https://www.yelp.com/biz/pro-rooter-oklahoma-city?osq=plumbing,73101
157,157,https://www.yelp.com/biz/mr-rooter-plumbing-of-oklahoma-city-oklahoma-city-5?osq=plumbing,73101
158,158,https://www.yelp.com/biz/stone-creek-plumbing-serv-oklahoma-city?osq=plumbing,73101
159,159,https://www.yelp.com/biz/drain-man-plumbing-oklahoma-city-2?osq=plumbing,73101
160,160,https://www.yelp.com/biz/andys-plumbing-oklahoma-city?osq=plumbing,73101
161,161,https://www.yelp.com/biz/brandons-plumbing-norman-4?osq=plumbing,73101
190,28,https://www.yelp.com/biz/legacy-4-plumbing-norman-7?osq=plumbing,73102
